Poll time,Metric Name,Mean (ms),Median (ms),Min (ms),Max (ms),StdDev (ms),Compliance
2025-06-03 19:53:51,response_time,1.16,0.84,0.30,3.30,801.91,True
2025-06-03 19:53:51,client_time,1.20,0.84,0.35,3.74,1048.96,True
2025-06-03 19:53:51,filter_details_response_time,1.34,0.84,0.74,3.92,1078.37,True
2025-06-03 19:53:51,filter_sales_response_time,1.78,1.71,1.24,3.15,625.55,True
2025-06-03 19:54:23,response_time,1.29,0.96,0.30,3.30,863.82,True
2025-06-03 19:54:23,client_time,1.33,0.87,0.35,3.74,1123.07,True
2025-06-03 19:54:23,filter_details_response_time,2.49,0.92,0.74,11.17,3422.77,True
2025-06-03 19:54:23,filter_sales_response_time,1.80,1.78,1.24,3.15,623.73,True
2025-06-03 19:54:55,response_time,1.26,0.96,0.30,3.30,832.04,True
2025-06-03 19:54:55,client_time,1.30,0.87,0.35,3.74,1085.88,True
2025-06-03 19:54:55,filter_details_response_time,1.91,0.92,0.74,5.96,1851.40,True
2025-06-03 19:54:55,filter_sales_response_time,1.80,1.78,1.24,3.15,623.74,True
